id;address;categories;city;country;keys;menus.amountMax;menus.amountMin;menus.currency;menus.description;menus.name;name;review_overall;priceRangeCurrency;priceRangeMin;priceRangeMax;province
AVwc0cXJkufWRAb5zW_a;11165 S Eastern Ave;Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants;Henderson;US;us/nv/henderson/11165seasternave/1844769155;19.99;16.99;USD;Broccoli, spinach, peppers and mushrooms;Garden Pizza;Joey's N Y Pizza;4.5;;;;NV
AVwc0cXJkufWRAb5zW_a;11165 S Eastern Ave;Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants;Henderson;US;us/nv/henderson/11165seasternave/1844769155;18.99;15.99;USD;;Margarita Pizza;Joey's N Y Pizza;4;;;;NV
AVwc0cXJkufWRAb5zW_a;11165 S Eastern Ave;Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants;Henderson;US;us/nv/henderson/11165seasternave/1844769155;21.99;17.99;USD;Sausage, pepperoni, meatballs, peppers, onions, black olives, mushrooms;Supreme Pizza;Joey's N Y Pizza;4;;;;NV
AVwc0cXJkufWRAb5zW_a;11165 S Eastern Ave;Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants;Henderson;US;us/nv/henderson/11165seasternave/1844769155;16.99;13.99;USD;Fresh mozzarella, fresh parmesan and fresh garlic;White Pizza;Joey's N Y Pizza;4;;;;NV
AVwc0fCOkufWRAb5zXXa;21100 91st Pl S;Keymakers,Locks & Locksmiths;Kent;US;us/wa/kent/2110091stpls/101945399;1.75;1.75;USD;Italian pepperoni, hot italian sausage, fresh ground western beef, cob smoked bacon, marinated chicken breast, new england baked ham anchovy filets, fresh plum tomatoes, freshly cut broccoli, fresh white mushrooms, fresh green spinach, freshly sliced eggplant, freshly sliced red onions, freshly sliced green peppers, marinated sun dried tomatoes, sliced jalapeno peppers, roasted red peppers, freshly chopped garlic, california black olives, sweet hawaiian pineapple, marinated artichoke hearts, scrambled eggs new, italian gorgonzola cheese, greek feta cheese, vegan soy cheese, grated parmesan cheese, flavorful four cheese blend;Pizza Toppings;Keyme;4;;;;WA
AVwc0jboByjofQCxijqT;264 Lakeside Ave;Restaurants,Bars & Pubs;Laconia;US;us/weirsbeach/laconia/264lakesideave/-638314910;15;15;USD;;Pizza;Tower Hill Tavern;4;;;;Weirs Beach
AVwc0N-0ByjofQCxif90;1431 Plaza Pl;Restaurant;Southlake;US;us/tx/southlake/1431plazapl/851666666;8.95;8.95;USD;Boursin, mozzarella, arugula, parmesan;Sausage Onion Jam Pizza;Brio Tuscan Grille - Southlake - Southlake Town Square;4;USD;0;30;TX
AVwc0q64kufWRAb5zZhU;3505 A Longmire Dr;Restaurant,Pizza Place;College Station;US;us/tx/collegestation/3505longmiredr/1045531984;13.99;13.99;USD;;Cheese Pizza;Doubledave's Pizza Works;2.5;USD;0;25;TX
AVwc0q64kufWRAb5zZhU;3505 A Longmire Dr;Restaurant,Pizza Place;College Station;US;us/tx/collegestation/3505longmiredr/1045531984;3.99;3.99;USD;;Chocolate Chip Pizza;Doubledave's Pizza Works;4;USD;0;25;TX
AVwc0thDkufWRAb5zaBV;711 N 132nd St;Pizza Place,Take Out Restaurants,Restaurants,Pizza;Omaha;US;us/ne/omaha/711n132ndst/-893134561;;;;Bacon , lettuce, tomato, mayo, ranch;B.l.t. Pizza;Frank's Pizzeria;4.5;;;;NE
AVwc0thDkufWRAb5zaBV;711 N 132nd St;Pizza Place,Take Out Restaurants,Restaurants,Pizza;Omaha;US;us/ne/omaha/711n132ndst/-893134561;;;;Bbq sauce, chicken, red onions;Bbq Chicken Pizza;Frank's Pizzeria;4.5;;;;NE
AVwc0thDkufWRAb5zaBV;711 N 132nd St;Pizza Place,Take Out Restaurants,Restaurants,Pizza;Omaha;US;us/ne/omaha/711n132ndst/-893134561;;;;Hot sauce, chicken, ranch dressing,  blue cheese;Buffalo Chicken Pizza;Frank's Pizzeria;4.5;;;;NE
AVwc0thDkufWRAb5zaBV;711 N 132nd St;Pizza Place,Take Out Restaurants,Restaurants,Pizza;Omaha;US;us/ne/omaha/711n132ndst/-893134561;;;;Fresh mozzarella and basil;Margherita Pizza;Frank's Pizzeria;4;;;;NE
AVwc0thDkufWRAb5zaBV;711 N 132nd St;Pizza Place,Take Out Restaurants,Restaurants,Pizza;Omaha;US;us/ne/omaha/711n132ndst/-893134561;16.24;16.24;USD;Mozzarella, ricotta, garlic, no sauce;White Pizza;Frank's Pizzeria;4;;;;NE
AVwc0UfGkufWRAb5zVuE;190 N Swift Rd;Pizza Place,Restaurant;Addison;US;us/il/addison/190nswiftrd/1318595626;6.7;6.7;USD;Our backed light crust, stuffed and folded with our freshest ingredients, basted with garlic butter, sprinkled with romano cheese and parsley;Cheese Pizzarito;Casino's Pizza;3.5;;;;IL
AVwc0UfGkufWRAb5zVuE;190 N Swift Rd;Pizza Place,Restaurant;Addison;US;us/il/addison/190nswiftrd/1318595626;2.76;2.76;USD;Served all day;Pizza Slices;Casino's Pizza;3.5;;;;IL
AVwc0vdZkufWRAb5zaZ_;11651 W 64th Ave;Bakery,Bakery Restaurants,Food Products Retail,Variety Stores,Organic Foods & Products,Bakeries,Restaurant,Bakery Northwest Arvada;Arvada;US;us/co/arvada/11651w64thave/-39981986;7.99;7.99;USD;;Pizza Dough Balls;Glutenfree Things;5;;;;CO
AVwc0vdZkufWRAb5zaZ_;11651 W 64th Ave;Bakery,Bakery Restaurants,Food Products Retail,Variety Stores,Organic Foods & Products,Bakeries,Restaurant,Bakery Northwest Arvada;Arvada;US;us/co/arvada/11651w64thave/-39981986;7.99;7.99;USD;;Pizza Dough Flats;Glutenfree Things;3.5;;;;CO
AVwc0Wtp_7pvs4fzzSbm;22 Englar Rd;Italian Restaurant;Westminster;US;us/md/westminster/22englarrd/434131710;15.95;9;USD;;Margherita Pizza;Mediterraneo Ristorante;4.5;USD;25;40;MD
AVwc-0zw_7pvs4fz1AjD;50a;Pub,Sports Bar;Hermosa Beach;US;us/ca/hermosabeach/50a/-2089456359;9.75;9.75;USD;;Build Your Own Pizza;Patrick Molloy's Sports Pub;4;USD;25;40;CA
AVwc-0zw_7pvs4fz1AjD;50a;Pub,Sports Bar;Hermosa Beach;US;us/ca/hermosabeach/50a/-2089456359;11.5;11.5;USD;;Build Your Own Pizza;Patrick Molloy's Sports Pub;4;USD;25;40;CA
AVwc-0zw_7pvs4fz1AjD;50a;Pub,Sports Bar;Hermosa Beach;US;us/ca/hermosabeach/50a/-2089456359;3;3;USD;;Cheese Pizza;Patrick Molloy's Sports Pub;4;USD;25;40;CA
